policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,encoding,condition,snn_steps,hidden_dim
rate,1000,0.0,0,0.0,-1,252,1,40.15151850572259,1.3300842296513964,1.4946982403236864,4.2103174603174605,rate,noise_0.00,25,96
rate,1001,0.0,0,0.0,-1,254,1,40.04462655469046,1.294054383857611,1.5050564456737432,4.145669291338582,rate,noise_0.00,25,96
rate,1002,0.0,0,0.0,-1,253,1,40.10006430182188,1.2761726200275054,1.5197232379398744,4.07905138339921,rate,noise_0.00,25,96
rate,1003,0.0,0,0.0,-1,252,1,40.00627680024403,1.347619818549316,1.5493947725960227,4.226190476190476,rate,noise_0.00,25,96
rate,1004,0.0,0,0.0,-1,252,1,40.14463588345722,1.3143563500462865,1.47663494712096,4.198412698412699,rate,noise_0.00,25,96
rate,1005,0.0,0,0.0,-1,16,0,2.668203142991254,0.9206559587632801,1.5846632509821625,3.4375,rate,noise_0.00,25,96
rate,1006,0.0,0,0.0,-1,252,1,40.05664652774158,1.3294685294201478,1.5209883805566964,4.238095238095238,rate,noise_0.00,25,96
rate,1007,0.0,0,0.0,-1,251,1,40.00327605750376,1.3391803840106762,1.522501899952904,4.211155378486056,rate,noise_0.00,25,96
rate,1008,0.0,0,0.0,-1,253,1,40.047332106780345,1.3146136221894367,1.4772424630182004,4.1936758893280635,rate,noise_0.00,25,96
rate,1009,0.0,0,0.0,-1,35,0,4.722564130346328,0.3825246121313603,1.6441783459055732,1.8857142857142857,rate,noise_0.00,25,96
rate,1010,0.0,0,0.0,-1,20,0,2.126657379749318,0.5415898079473864,1.6398900763811102,2.1,rate,noise_0.00,25,96
rate,1011,0.0,0,0.0,-1,24,0,4.057852486781379,0.7978885799690382,1.5770026789117007,2.7916666666666665,rate,noise_0.00,25,96
rate,1000,0.04,0,0.0,-1,21,0,3.584639582510405,0.9419275026731277,1.5912275299026162,2.9523809523809526,rate,noise_0.04,25,96
rate,1001,0.04,0,0.0,-1,23,0,3.0252463976727575,0.4866887711437218,1.6000952407218825,1.826086956521739,rate,noise_0.04,25,96
rate,1002,0.04,0,0.0,-1,24,0,3.7383579557709097,0.6062513432530877,1.6116657314515326,2.1666666666666665,rate,noise_0.04,25,96
rate,1003,0.04,0,0.0,-1,21,0,3.488586777539433,0.6636311506267953,1.5851345382167796,2.0,rate,noise_0.04,25,96
rate,1004,0.04,0,0.0,-1,27,0,4.45656223218987,0.7109401406774943,1.588793120473781,2.0,rate,noise_0.04,25,96
rate,1005,0.04,0,0.0,-1,22,0,2.9050492809569612,0.5708989810298565,1.6789177476530661,2.0,rate,noise_0.04,25,96
rate,1006,0.04,0,0.0,-1,26,0,3.5736866506663287,0.5183279575455597,1.6638677199454666,2.230769230769231,rate,noise_0.04,25,96
