policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,condition
ANN,1000,0.0,0,0.0,-1,13,0,1.892551868403182,0.8017679566025268,1.5874493760033164,1.1338132849106421,noise_0.00
ANN,1001,0.0,0,0.0,-1,14,0,2.084192898457937,0.8488552100701529,1.7095513132461708,1.1324245078223092,noise_0.00
ANN,1002,0.0,0,0.0,-1,13,0,1.7710472909255066,0.8061143288093616,1.5958497889980607,1.1249185250355647,noise_0.00
ANN,1003,0.0,0,0.0,-1,13,0,1.9886871196612879,0.8075591503221351,1.6003617602409583,1.111013609629411,noise_0.00
ANN,1004,0.0,0,0.0,-1,13,0,1.806870870698499,0.8013124748314717,1.5865911075697108,1.1324169544073253,noise_0.00
ANN,1005,0.0,0,0.0,-1,13,0,1.929922675256363,0.806248994119502,1.5968101989364476,1.1246030101409326,noise_0.00
ANN,1006,0.0,0,0.0,-1,13,0,2.044721184745943,0.8083617315845063,1.6035742340537764,1.0900860680983617,noise_0.00
ANN,1007,0.0,0,0.0,-1,13,0,1.9882231489484063,0.803419233959864,1.5920539567981518,1.116406472829672,noise_0.00
ANN,1008,0.0,0,0.0,-1,13,0,1.9504749368070715,0.8073173529823003,1.5988511827965675,1.119999715915093,noise_0.00
ANN,1009,0.0,0,0.0,-1,13,0,2.0441489169546845,0.7998908842291048,1.5858384724917443,1.103478518816141,noise_0.00
ANN,1010,0.0,0,0.0,-1,13,0,2.07198878047287,0.8104187848334855,1.60819490227757,1.0750283621824706,noise_0.00
ANN,1011,0.0,0,0.0,-1,13,0,1.9297276915512458,0.7993716133539229,1.5830171950464849,1.1330533990493188,noise_0.00
SNN,1000,0.0,0,0.0,-1,26,0,4.062846556002073,0.7580739710397831,1.5526417608645804,3.3076923076923075,noise_0.00
SNN,1001,0.0,0,0.0,-1,25,0,3.962865140027293,0.6525785808317563,1.6431436834785305,2.24,noise_0.00
SNN,1002,0.0,0,0.0,-1,253,1,40.08660641239279,1.3036944485742983,1.4932700769234133,4.573122529644269,noise_0.00
SNN,1003,0.0,0,0.0,-1,13,0,1.9886871196612879,0.8075591503221351,1.6003617602409583,3.3846153846153846,noise_0.00
SNN,1004,0.0,0,0.0,-1,17,0,2.4279040013403383,0.7644501829809762,1.6992693416511222,2.764705882352941,noise_0.00
SNN,1005,0.0,0,0.0,-1,210,0,32.944890574124315,1.306528533633135,1.5514089513367362,4.4714285714285715,noise_0.00
SNN,1006,0.0,0,0.0,-1,15,0,2.3630142608523816,0.7546585421095026,1.6263037637625586,2.8,noise_0.00
SNN,1007,0.0,0,0.0,-1,30,0,4.66348085101325,0.43881802860480945,1.5856124853205098,1.9666666666666666,noise_0.00
SNN,1008,0.0,0,0.0,-1,256,1,40.01822322083704,1.3077450196464846,1.5293095497900782,4.51953125,noise_0.00
SNN,1009,0.0,0,0.0,-1,255,1,40.11316112981538,1.2997396395688272,1.511596286731839,4.490196078431373,noise_0.00
SNN,1010,0.0,0,0.0,-1,23,0,3.1238662852010854,0.7203590816590166,1.5575667476889425,3.0434782608695654,noise_0.00
SNN,1011,0.0,0,0.0,-1,15,0,2.2409120696459737,0.8069805555926166,1.6713345244713471,3.066666666666667,noise_0.00
ANN,1000,0.04,0,0.0,-1,23,0,3.7925926157830303,0.7162691910424964,1.6373906434651433,1.7264870845753213,noise_0.04
ANN,1001,0.04,0,0.0,-1,28,0,4.495465915201274,0.6556275417851108,1.6722682221517702,1.4078667972769057,noise_0.04
ANN,1002,0.04,0,0.0,-1,18,0,2.7116229945496557,0.7677207820867009,1.6920876408063223,1.105529440773858,noise_0.04
ANN,1003,0.04,0,0.0,-1,19,0,3.0680611248399803,0.7114592889266868,1.6676103297707512,1.1571532770207054,noise_0.04
ANN,1004,0.04,0,0.0,-1,17,0,2.53711195677551,0.7609607841652942,1.6571977929912087,1.3992752047146069,noise_0.04
ANN,1005,0.04,0,0.0,-1,23,0,3.937333781245762,0.7710233251486952,1.592372377456252,1.2947788575421209,noise_0.04
ANN,1006,0.04,0,0.0,-1,20,0,3.2270134228443297,0.6099940975586184,1.607755229397021,1.4901086330413817,noise_0.04
ANN,1007,0.04,0,0.0,-1,29,0,4.879903606289365,0.6496030526718857,1.5507988791896605,1.275417678315064,noise_0.04
ANN,1008,0.04,0,0.0,-1,18,0,2.8832798578003507,0.7582235255222344,1.6758160266350401,1.0888201428784265,noise_0.04
ANN,1009,0.04,0,0.0,-1,17,0,2.838340770895784,0.7063246800564135,1.5523531702112257,1.2019331350046045,noise_0.04
ANN,1010,0.04,0,0.0,-1,32,0,5.270151715148598,0.5405759006873683,1.5952642016720888,1.4551637005060911,noise_0.04
ANN,1011,0.04,0,0.0,-1,19,0,3.183002933991184,0.8078784925845728,1.59895031210736,1.1351121350338584,noise_0.04
SNN,1000,0.04,0,0.0,-1,23,0,3.204181392254352,0.5442435087001769,1.6704178781932937,2.347826086956522,noise_0.04
