policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,hidden_dim,snn_steps,beta
SNN,1000,0.0,0,0.0,-1,252,1,40.045290614656565,1.280847709732173,1.4889810582218463,9.757936507936508,64,25,0.9
SNN,1001,0.0,0,0.0,-1,253,1,40.05941273171951,1.295782886983072,1.5048303377304384,9.877470355731225,64,25,0.9
SNN,1002,0.0,0,0.0,-1,252,1,40.103872633091996,1.2764732722278505,1.5225991506663028,9.777777777777779,64,25,0.9
SNN,1003,0.0,0,0.0,-1,252,1,40.06821083846116,1.294470713177906,1.4791903144283296,9.936507936507937,64,25,0.9
SNN,1004,0.0,0,0.0,-1,23,0,3.0223012737162667,0.5154384361151103,1.6701709160131144,9.521739130434783,64,25,0.9
SNN,1005,0.0,0,0.0,-1,253,1,40.147067763944456,1.276278291059337,1.4747518021484642,9.849802371541502,64,25,0.9
SNN,1006,0.0,0,0.0,-1,251,1,40.01582931676115,1.2402073373224902,1.5046687570217891,9.9601593625498,64,25,0.9
SNN,1007,0.0,0,0.0,-1,252,1,40.15309585604215,1.272442079704416,1.5194139274897698,9.932539682539682,64,25,0.9
SNN,1008,0.0,0,0.0,-1,253,1,40.091212699184595,1.2708947978568916,1.4908611323699734,9.802371541501977,64,25,0.9
SNN,1009,0.0,0,0.0,-1,20,0,2.16525164112285,0.5728252994608166,1.7035326603669394,10.0,64,25,0.9
SNN,1010,0.0,0,0.0,-1,24,0,2.759694012709618,0.4868403242011161,1.6146460016814663,9.791666666666666,64,25,0.9
SNN,1011,0.0,0,0.0,-1,17,0,1.9018149614314888,0.5796453849293437,1.5887082797117926,9.705882352941176,64,25,0.9
SNN,1000,0.08,0,0.0,-1,21,0,3.037826917733957,0.6427297059143706,1.6712623832262095,8.523809523809524,64,25,0.9
SNN,1001,0.08,0,0.0,-1,34,0,5.704947562232728,0.8295012617011553,1.5822292542969298,7.352941176470588,64,25,0.9
SNN,1002,0.08,0,0.0,-1,28,0,4.172375049110797,0.43429311612115995,1.5939733069704083,10.392857142857142,64,25,0.9
SNN,1003,0.08,0,0.0,-1,30,0,4.1551122052305,0.41008476436867236,1.5758131497536751,9.933333333333334,64,25,0.9
SNN,1004,0.08,0,0.0,-1,19,0,3.0676350482638504,0.7488769847257933,1.5732994474076194,6.157894736842105,64,25,0.9
SNN,1005,0.08,0,0.0,-1,17,0,2.90669797750886,0.839229376822345,1.5640001097908418,6.352941176470588,64,25,0.9
SNN,1006,0.08,0,0.0,-1,19,0,3.2549156203777656,0.7051413593213613,1.5672026387424947,7.157894736842105,64,25,0.9
SNN,1007,0.08,0,0.0,-1,17,0,2.6606735115262317,0.7147682400408667,1.6440162567114776,6.647058823529412,64,25,0.9
SNN,1008,0.08,0,0.0,-1,22,0,2.820341367541672,0.524102450486714,1.6565857233043282,8.590909090909092,64,25,0.9
SNN,1009,0.08,0,0.0,-1,17,0,2.980605869729729,0.9116461272729839,1.5878663704113918,7.647058823529412,64,25,0.9
SNN,1010,0.08,0,0.0,-1,21,0,3.741221555040594,0.951667513495196,1.6014647613538662,7.238095238095238,64,25,0.9
SNN,1011,0.08,0,0.0,-1,19,0,2.57714913849891,0.5665999529454653,1.5913092937439104,9.0,64,25,0.9
SNN,1000,0.12,0,0.0,-1,34,0,5.089417050058149,0.39920218681277686,1.6360038476046992,9.588235294117647,64,25,0.9
SNN,1001,0.12,0,0.0,-1,128,0,20.222305436457006,1.1384585651502723,1.6148433785088043,6.671875,64,25,0.9
SNN,1002,0.12,0,0.0,-1,136,0,21.579840810214716,1.0545466006179354,1.5564922294104462,8.426470588235293,64,25,0.9
SNN,1003,0.12,0,0.0,-1,29,0,4.161446657362099,0.42700375624630565,1.582393238180011,9.724137931034482,64,25,0.9
SNN,1004,0.12,0,0.0,-1,21,0,3.3554013932281843,0.726669517329161,1.6283121365590802,5.761904761904762,64,25,0.9
SNN,1005,0.12,0,0.0,-1,55,0,8.597909146840019,0.49658376376388536,1.5518668760520944,8.981818181818182,64,25,0.9
SNN,1006,0.12,0,0.0,-1,22,0,3.7285929618147375,0.7119730354833971,1.6570647595876378,6.045454545454546,64,25,0.9
SNN,1007,0.12,0,0.0,-1,28,0,4.69387498130958,0.6283791325304214,1.6105450120444489,8.178571428571429,64,25,0.9
SNN,1008,0.12,0,0.0,-1,47,0,7.3808431148945255,0.465093014182533,1.5626375944481712,9.23404255319149,64,25,0.9
SNN,1009,0.12,0,0.0,-1,34,0,5.018251115827456,0.46481849953516086,1.6320785067833545,8.323529411764707,64,25,0.9
SNN,1010,0.12,0,0.0,-1,27,0,4.590896556366655,0.6361263798117301,1.5861961662981883,7.37037037037037,64,25,0.9
SNN,1011,0.12,0,0.0,-1,57,0,9.274073818184664,1.0882436126683894,1.5584394365316703,6.456140350877193,64,25,0.9
SNN,1000,0.0,0,0.0,-1,147,0,23.524614799770184,1.301255398784554,1.5520186665895155,8.231292517006803,96,25,0.92
SNN,1001,0.0,0,0.0,-1,104,0,16.62037024773589,1.2886667730588397,1.5564188615123395,8.365384615384615,96,25,0.92
SNN,1002,0.0,0,0.0,-1,22,0,3.588068650097565,0.9505445151436528,1.5536346378240165,6.2727272727272725,96,25,0.92
SNN,1003,0.0,0,0.0,-1,167,0,26.576409811061144,1.2990540371901227,1.577147240944851,8.425149700598803,96,25,0.92
SNN,1004,0.0,0,0.0,-1,252,1,40.1542675395171,1.3181796249191702,1.496414769232664,8.464285714285714,96,25,0.92
SNN,1005,0.0,0,0.0,-1,253,1,40.008421333212574,1.2707336569407646,1.5233867972453206,8.102766798418973,96,25,0.92
SNN,1006,0.0,0,0.0,-1,20,0,2.172577880675549,0.5450806695367649,1.6298377069066792,4.05,96,25,0.92
