hidden_dim,snn_steps,beta,noise_std,n_episodes,success_rate,mean_lateral_error,mean_steps,mean_activity
64,25,0.9,0.0,12,0.6666666666666666,1.030178877730877,175.16666666666666,9.826154473844086
64,25,0.9,0.08,12,0.0,0.689886737768007,22.0,7.9162328168907115
64,25,0.9,0.12,12,0.0,0.686424838677664,51.5,7.8968792014450075
96,25,0.92,0.0,12,0.3333333333333333,1.121753025511803,145.25,7.39440919971164
96,25,0.92,0.08,12,0.0,0.6770769364379808,23.333333333333332,4.273679103424315
96,25,0.92,0.12,12,0.0,0.6428990487170372,27.083333333333332,3.725860568606071
96,40,0.92,0.0,12,0.16666666666666666,1.2077796493682997,111.41666666666667,10.52660022656091
96,40,0.92,0.08,12,0.0,0.6613597122579978,25.916666666666668,7.516798816751066
96,40,0.92,0.12,12,0.0,0.5160109940262263,31.75,7.013828094322046
128,40,0.95,0.0,12,0.08333333333333333,0.8459509314864433,80.0,3.972771422159799
128,40,0.95,0.08,12,0.0,0.617404547126868,36.0,2.0861014809449703
128,40,0.95,0.12,12,0.0,0.5295915827564773,29.25,2.215942587357495
